id,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
tt0203009,Moulin Rouge!,2001,PG-13,2h 7min,Romance; ,1 June 2001 (USA),7.6,261663,2352,https://www.imdb.com/title/tt0203009/reviews/_ajax?ref_=undefined&paginationKey=
tt1478338,Bridesmaids,2011,R,2h 5min,Comedy; Romance; ,13 May 2011 (USA),6.8,261604,563,https://www.imdb.com/title/tt1478338/reviews/_ajax?ref_=undefined&paginationKey=
tt0112471,Before Sunrise,1995,R,1h 41min,Romance; ,27 January 1995 (USA),8.1,259505,491,https://www.imdb.com/title/tt0112471/reviews/_ajax?ref_=undefined&paginationKey=
tt0800039,Forgetting Sarah Marshall,2008,R,1h 51min,Comedy; Romance; ,18 April 2008 (USA),7.1,257218,367,https://www.imdb.com/title/tt0800039/reviews/_ajax?ref_=undefined&paginationKey=
tt0061722,The Graduate,1967,PG,1h 46min,Comedy; Romance; ,21 December 1967 (USA),8.0,248509,747,https://www.imdb.com/title/tt0061722/reviews/_ajax?ref_=undefined&paginationKey=
tt0290002,Meet the Fockers,2004,PG-13,1h 55min,Comedy; Romance; ,22 December 2004 (USA),6.3,247839,440,https://www.imdb.com/title/tt0290002/reviews/_ajax?ref_=undefined&paginationKey=
tt0075686,Annie Hall,1977,PG,1h 33min,Comedy; Romance; ,20 April 1977 (USA),8.0,247004,534,https://www.imdb.com/title/tt0075686/reviews/_ajax?ref_=undefined&paginationKey=
tt0414387,Pride & Prejudice,2005,PG,2h 9min,Romance; ,23 November 2005 (USA),7.8,244775,1158,https://www.imdb.com/title/tt0414387/reviews/_ajax?ref_=undefined&paginationKey=
tt1385826,The Adjustment Bureau,2011,PG-13,1h 46min,Romance; ,4 March 2011 (USA),7.0,238519,473,https://www.imdb.com/title/tt1385826/reviews/_ajax?ref_=undefined&paginationKey=
tt0497465,Vicky Cristina Barcelona,2008,PG-13,1h 36min,Comedy; Romance; ,15 August 2008 (USA),7.1,237781,398,https://www.imdb.com/title/tt0497465/reviews/_ajax?ref_=undefined&paginationKey=
tt0053291,Some Like It Hot,1959,Not Rated,2h 1min,Comedy; Romance; ,19 March 1959 (USA),8.2,236307,416,https://www.imdb.com/title/tt0053291/reviews/_ajax?ref_=undefined&paginationKey=
tt0116695,Jerry Maguire,1996,R,2h 19min,Comedy; Romance; ,13 December 1996 (USA),7.3,235416,366,https://www.imdb.com/title/tt0116695/reviews/_ajax?ref_=undefined&paginationKey=
tt0457939,The Holiday,2006,PG-13,2h 16min,Comedy; Romance; ,8 December 2006 (USA),6.9,235047,560,https://www.imdb.com/title/tt0457939/reviews/_ajax?ref_=undefined&paginationKey=
tt0077631,Grease,1978,PG,1h 50min,Romance; ,16 June 1978 (USA),7.2,230215,415,https://www.imdb.com/title/tt0077631/reviews/_ajax?ref_=undefined&paginationKey=
tt0976051,The Reader,2008,R,2h 4min,Romance; ,30 January 2009 (USA),7.6,226284,431,https://www.imdb.com/title/tt0976051/reviews/_ajax?ref_=undefined&paginationKey=
tt0381681,Before Sunset,2004,R,1h 20min,Romance; ,30 July 2004 (USA),8.0,226255,542,https://www.imdb.com/title/tt0381681/reviews/_ajax?ref_=undefined&paginationKey=
tt1655442,The Artist,2011,PG-13,1h 40min,Comedy; Romance; ,20 January 2012 (USA),7.9,226187,661,https://www.imdb.com/title/tt1655442/reviews/_ajax?ref_=undefined&paginationKey=
tt2229499,Don Jon,2013,R,1h 30min,Comedy; Romance; ,27 September 2013 (USA),6.5,224896,338,https://www.imdb.com/title/tt2229499/reviews/_ajax?ref_=undefined&paginationKey=
tt7653254,Marriage Story,2019,R,2h 17min,Comedy; Romance; ,6 December 2019 (USA),8.0,219894,1178,https://www.imdb.com/title/tt7653254/reviews/_ajax?ref_=undefined&paginationKey=
tt0243155,Bridget Jones's Diary,2001,R,1h 37min,Comedy; Romance; ,13 April 2001 (USA),6.7,218715,588,https://www.imdb.com/title/tt0243155/reviews/_ajax?ref_=undefined&paginationKey=
tt0163978,The Beach,2000,R,1h 59min,Romance; ,11 February 2000 (USA),6.7,218197,587,https://www.imdb.com/title/tt0163978/reviews/_ajax?ref_=undefined&paginationKey=
