,DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON
4005,200610484,2020-05-22,1500,6,Hollywood,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,F,1500 N  KINGSLEY                     DR,34.0981,-118.3033
4006,200320020,2020-11-07,1030,3,Southwest,901,VIOLATION OF RESTRAINING ORDER,25,M,3900    DENKER                       AV,34.0153,-118.3045
4007,200804830,2020-01-18,400,8,West LA,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),33,F,2300 S  CORNING                      ST,34.0391,-118.3802
4008,201109255,2020-05-10,1900,11,Northeast,310,BURGLARY,36,M,2400    SILVER LAKE                  BL,34.1009,-118.2592
4009,201315539,2020-08-14,2100,13,Newton,330,BURGLARY FROM VEHICLE,35,M,4500    SAN PEDRO                    PL,34.0027,-118.2734
4010,200513050,2020-08-16,1500,5,Harbor,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",63,F,800 W  BLOOMWOOD                    RD,33.7582,-118.3007
4011,201420810,2020-11-22,1145,14,Pacific,480,BIKE - STOLEN,30,M,OCEAN FRONT                  WK,33.988,-118.4746
4012,201711458,2020-06-26,1,17,Devonshire,354,THEFT OF IDENTITY,44,F,18400    TRIBUNE                      ST,34.2673,-118.5349
4013,201221464,2020-04-07,1200,12,77th Street,624,BATTERY - SIMPLE ASSAULT,75,M,500 W  46TH                         ST,34.0017,-118.2871
4014,200319949,2020-11-05,1925,3,Southwest,901,VIOLATION OF RESTRAINING ORDER,28,F,4200 S  VERMONT                      AV,34.0073,-118.298
4015,201000898,2020-10-03,345,10,West Valley,310,BURGLARY,0,M,7500    WOODLEY                      AV,34.2066,-118.4837
4016,202116909,2020-12-11,1725,21,Topanga,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,19,M,21200    LULL                         ST,34.2095,-118.5956
4017,200108428,2020-03-04,700,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),28,M,300 S  BROADWAY,34.051,-118.248
4018,201506335,2020-02-12,1,15,N Hollywood,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36,F,4200    TUJUNGA                      AV,34.1451,-118.3875
4019,201511789,2020-06-25,1505,15,N Hollywood,510,VEHICLE - STOLEN,0,nan,12200    BURBANK                      BL,34.1797,-118.4014
4020,200515253,2020-10-14,602,5,Harbor,946,OTHER MISCELLANEOUS CRIME,0,X,100 W  22ND                         ST,33.725,-118.2825
